Off Market Transaction ,,,,,,,
,,,,,,,
MEMBER , TO , MEMBER ,,,,,
,,,,,,,
Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE, COMPANY , TURNOVER , RATE , VALUES 
,,,,,,,
28-Apr-22,09-May-22,(+)006 (-)323,NCL,Nishat(Chunain),40000,52.1,2084000
28-Apr-22,09-May-22,(+)084 (-)102,FLYNG,Flying Cement Co. Lt,3500000,8.95,31325000
28-Apr-22,06-May-22,(+)164 (-)102,HUMNL,Hum Network Limited,146000,7.92,1156320
28-Apr-22,09-May-22,(+)223 (-)120,AGL,Agritech Ltd.,2750000,6.2,17050000
28-Apr-22,13-May-22,(+)293 (-)120,SBL,Samba Bank Ltd.,2600000,12,31200000
,,,,,,,
CROSS ,TRANSACTIONS, BETWEEN, CLIENT TO ,CLIENT & FINANCIAL, INSTITUTIONS ,,
,,,,,,,
Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE, COMPANY , TURNOVER , RATE , VALUES 
,,,,,,,
28-Apr-22,06-May-22,8,FCCL,Fauji Cement,41500,17.03,706745
28-Apr-22,06-May-22,8,INIL,Int. Ind.,1000,120,120000
28-Apr-22,09-May-22,19,BECO,BECO Steel Limited,8060606,25,201515150
28-Apr-22,28-Apr-22,46,FNEL,First National Equit,800000,7.06,5648000
28-Apr-22,06-May-22,48,GEMSPNL,Supernet Limited,300000,23.12,6936000
28-Apr-22,09-May-22,120,FLYNG,Flying Cement Co. Lt,1360500,9,12244500
28-Apr-22,30-May-22,120,FLYNG,Flying Cement Co. Lt,1360500,9.16,12462180
28-Apr-22,06-May-22,145,LOTCHEM,Lotte Chemical Ltd,50000,19.9,995000
28-Apr-22,06-May-22,145,UNITY,Unity Foods Limited,500,24,12000
28-Apr-22,06-May-22,166,HUMNL,Hum Network Limited,10000,7.68,76800
28-Apr-22,06-May-22,166,KEL,K-Electric Limited,1000000,2.84,2840000
28-Apr-22,09-May-22,166,KEL,K-Electric Limited,1000000,2.84,2840000
28-Apr-22,28-Apr-22,194,HCAR,Hond Atlas Cars,10,200,2000
28-Apr-22,28-Apr-22,194,INDU,Indus Motor,150,1344,201600
28-Apr-22,28-Apr-22,194,LOTCHEM,Lotte Chemical Ltd,50000,21.1,1055000
28-Apr-22,06-May-22,194,ATRL,Attock Ref.,1500,163.1,244650
28-Apr-22,09-May-22,194,CNERGY,Cnergyico PK Ltd.,500000,7.45,3725000
28-Apr-22,09-May-22,194,EPCL,Engro Polymer & Che,3157,82.5,260452.5
28-Apr-22,28-Apr-22,524,SCL,Shield Corp. Ltd.,1000,266.5,266500
28-Apr-22,06-May-22,525,PRL,Pak Refinery,9000,17.39,156510
28-Apr-22,06-May-22,525,WAVES,Waves Singer,500,14.55,7275
28-Apr-22,09-May-22,951,FFBL,Fauji Bin Qasim,525000,25.75,13518750
28-Apr-22,09-May-22,951,HUBC,Hub Power,225000,75,16875000
